,Party,Won,Total,,
,Sikkim Democratic Front,1,1,,
,Sikkim Krantikari Morcha,31,31,,
,Total,32,32,,
,,,,,
Constituency,Const.no,Leading Candidate,Leading Party ,"Total party seats	",Margin
ARITHANG,26,ARUN KUMAR UPRETI,Sikkim Democratic Front,1,2729
BARFUNG,9,RIKSHAL DORJEE BHUTIA,Sikkim Democratic Front,1,4346
CHUJACHEN,20,PURAN KR. GURUNG,Sikkim Democratic Front,1,3334
DARAMDIN,6,MINGMA NORBU SHERPA,Sikkim Democratic Front,1,5975
DJONGU,30,PINTSO NAMGYAL LEPCHA,Sikkim Democratic Front,1,5007
GANGTOK,27,DELAY NAMGYAL BARFUNGPA,Sikkim Democratic Front,1,2692
GNATHANG-MACHONG,21,PAMIN LEPCHA,Sikkim Democratic Front,1,3807
GYALSHING-BARNYAK,4,LOK NATH SHARMA,Independent,0,963
KABI LUNGCHUK,29,THENLAY TSHERING BHUTIA,Sikkim Democratic Front,1,1693
KHAMDONG-SINGTAM,17,NAR BAHADUR DAHAL,Sikkim Democratic Front,1,1739
LACHEN MANGAN,31,SAMDUP LEPCHA,Sikkim Democratic Front,1,851
MANEYBONG-DENTAM,3,SUDESH KUMAR SUBBA,Sikkim Democratic Front,1,6039
MARTAM-RUMTEK,24,SONAM TSH. VENCHUNGPA,Sikkim Democratic Front,1,2762
MELLI,12,NAR BAHADUR PRADHAN,Citizen Action Party-Sikkim,0,4283
NAMCHEYBUNG,22,RAJU BASNET,Sikkim Democratic Front,1,2256
NAMCHI-SINGHITHANG,11,KRISHNA KUMARI RAI,Sikkim Democratic Front,1,5302
NAMTHANG-RATEYPANI,13,SANJEET KHAREL,Sikkim Democratic Front,1,5605
POKLOK-KAMRANG,10,BHOJ RAJ RAI,Sikkim Democratic Front,1,3063
RANGANG-YANGANG,15,RAJ KUMARI THAPA,Sikkim Democratic Front,1,1201
RHENOCK,19,P S TAMANG,Sikkim Democratic Front,1,7044
RINCHENPONG,5,ERUNG TENZING LEPCHA,Sikkim Democratic Front,1,6400
SALGHARI-ZOOM,8,MADAN CINTURY,Sikkim Democratic Front,1,2712
SANGHA,32,SONAM LAMA,Bharatiya Janata Party,0,865
SHYARI,23,TENZING NORBU LAMTHA,Sikkim Krantikari Morcha,31,1314
SORENG-CHAKUNG,7,P S TAMANG,Sikkim Democratic Front,1,7396
TEMI-NAMPHING,14,BEDU SINGH PANTH,Sikkim Democratic Front,1,3558
TUMEN-LINGI,16,SAMDUP TSHERING BHUTIA,Sikkim Democratic Front,1,4088
UPPER BURTUK,28,KALA RAI,Bharatiya Janata Party,0,2568
UPPER TADONG,25,G.T. DHUNGEL,Sikkim Democratic Front,1,4089
WEST PENDAM,18,LALL BAHADUR DAS,Sikkim Democratic Front,1,1952
YANGTHANG,2,BHIM HANG LIMBOO,Sikkim Democratic Front,1,2556
YUKSOM TASHIDING,1,TSHERING THENDUP BHUTIA,Sikkim Democratic Front,1,4812
